Price,Location,id,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Düz,Otomatik,Yarı Otomatik,Benzin,Dizel,Hibrit,LPG & Benzin,Coupe,Hatchback/3,Hatchback/5,MPV,Roadster,Sedan,Arkadan İtiş,Önden Çekiş,-,Takasa Uygun,Takasa Uygun Değil,Galeriden,Sahibinden,Yetkili Bayiden
650000,TRABZON ,20640619,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,77000,1597,125,6.7,47,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
675000,ERZURUM ,20639893,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2019,51300,1597,125,6.7,47,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
518000,TUNCELİ ,20637868,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Black Edition,2015,96000,1598,125,6.7,50,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
370000,KAHRAMANMARAŞ ,20643304,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2011,168000,1595,125,6.7,50,5 boyalı,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
320000,MANİSA ,20637806,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2008,182500,1595,125,6.7,50,"1 değişen, 5 boyalı",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
712000,BURSA ,20638088,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2019,37500,1597,125,6.7,47,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
585000,İSTANBUL ,20639261,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2018,105000,1597,125,6.7,47,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
690000,İSTANBUL ,20641021,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2019,65000,1597,125,6.3,46,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
119500,ANKARA ,20637662,29 Temmuz 2022,Honda,Civic,1.4 S,1997,345000,1396,90,6.8,45,12 boyalı,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
475000,DÜZCE ,20640665,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2011,80000,1595,125,7.1,50,1 boyalı,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
330000,MANİSA ,20639936,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2009,210000,1595,125,7.1,50,"1 değişen, 3 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
295000,ANTALYA ,20638032,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ES,2004,212000,1590,110,7.0,50,"1 değişen, 4 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
380000,,20623086,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2010,179000,1595,125,7.1,50,"3 değişen, 6 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
240000,ANKARA ,20637815,29 Temmuz 2022,Honda,Accord,2.4 Executive,2005,385000,2354,190,9.4,65,10 boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
460000,MARDİN ,20642674,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,115000,1595,125,6.7,50,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
352500,ÇORUM ,20642829,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2009,118000,1595,125,7.1,50,"1 değişen, 1 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
245000,BİTLİS ,20642524,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Dream,2007,330000,1595,125,6.7,50,Belirtilmemiş,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
653000,KARS ,20642928,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2018,25000,1597,125,6.7,47,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
495000,İSTANBUL ,20638550,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2015,107000,1595,125,6.7,50,1 değişen,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
200000,İSTANBUL ,20642320,29 Temmuz 2022,Honda,Civic,1.6 i ES,1998,240000,1590,126,9.0,55,Belirtilmemiş,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
125000,İSTANBUL ,20642832,29 Temmuz 2022,Honda,Accord,2.0 ES,1996,258500,1997,131,10.1,65,"3 değişen, 10 boyalı",0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
290000,KOCAELİ ,20600217,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Dream,2008,157000,1595,125,6.7,50,"1 değişen, 11 boyalı",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
385000,MALATYA ,20641680,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Elegance,2010,176000,1595,125,7.1,50,Belirtilmemiş,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
610000,İSTANBUL ,20641657,29 Temmuz 2022,Honda,Civic,1.5 i-VTEC RS,2017,101000,1498,182,6.0,46,3 boyalı,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
80000,MANİSA ,20641644,29 Temmuz 2022,Honda,Civic,1.6 Si,1991,315500,1590,125,0.0,45,Belirtilmemiş,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
636500,KARAMAN ,20639344,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2016,71000,1597,125,6.7,47,Tamamı orjinal,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0
713000,İSTANBUL ,20643040,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC Eco Executive,2020,35000,1597,125,6.3,46,Tamamı orjinal,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
255500,ERZİNCAN ,20638101,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC LS,2005,175000,1590,110,6.5,50,"2 değişen, 3 boyalı",1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
485000,HATAY ,20641950,29 Temmuz 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2014,127000,1598,125,6.7,50,2 boyalı,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0
